LotArea,GrLivArea,CentralAir,Cond,Qual,SalePrice
2280,1610,Y,5B,8B,181616.540434125
10800,1842,Y,5B,8B,200641.739509807
14585,1620,Y,5B,8B,210359.817941705
8730,980,Y,5B,8B,120066.801759933
7844,858,Y,5B,8B,135262.123077519
8400,1363,Y,5B,8B,172367.66224769
5500,2452,Y,5B,8B,250450.218652396
8750,1501,Y,5B,8B,237113.950290421
11426,1368,Y,5B,8B,191590.579897221
7332,1709,Y,5B,8B,145202.748723322
11200,1440,Y,5B,8B,236801.358313843
11050,1742,Y,5B,8B,207559.374818345
12400,1728,Y,5B,8B,216839.325735813
8800,1728,Y,5B,8B,199970.362280368
10150,1110,Y,5B,8B,208944.283280404
25419,1922,Y,5B,8B,289582.572275927
11838,2062,Y,5B,8B,270857.171623364
10659,1080,Y,5B,8B,126572.901702953
10793,2403,Y,5B,8B,310747.905823302
10264,1818,Y,5B,8B,186307.437078011
4400,1661,Y,5B,8B,156681.372136941
14331,1500,Y,5B,8B,217205.188924125
50271,1165,Y,5B,8B,211071.008079119
10839,1788,Y,5B,8B,189799.946190312
13346,928,Y,5B,8B,208667.751642146
9017,1352,Y,5B,8B,150164.118015769
9600,773,Y,5B,8B,237703.764135328
7264,1441,Y,5B,8B,204361.370981829
7200,1145,Y,5B,8B,170315.335619952
8530,1125,Y,5B,8B,152346.075820909
11700,1337,Y,5B,8B,194970.834279093
14450,958,Y,5B,8B,167530.769268254
5500,1452,Y,5B,8B,199633.397322303
7750,2320,Y,5B,8B,244741.143845623
25095,1262,Y,5B,8B,199563.91140494
7879,1340,Y,5B,8B,176919.278923156
10175,1477,Y,5B,8B,177414.370995339
8750,1235,Y,5B,8B,176701.379477979
3196,1752,Y,5B,8B,185639.659728257
8978,1689,Y,5B,8B,241638.1722451
11645,2630,Y,5B,8B,261657.532378675
4058,1557,Y,5B,8B,162694.341699349
4426,1144,Y,5B,8B,162350.874945062
13568,1935,Y,5B,8B,260489.305790516
9505,1336,Y,5B,8B,170528.760071719
8450,2353,Y,5B,8B,220514.906444863
8125,860,Y,5B,8B,147193.485626343
7200,1710,Y,5B,8B,221993.430595548
13693,2062,Y,5B,8B,252264.635564969
12342,2113,Y,5B,8B,240550.80648636
15578,2392,Y,5B,8B,260211.238475805
6204,1306,Y,5B,8B,165063.438333647
12822,1718,Y,5B,8B,182050.196060749
9142,1768,Y,5B,8B,161094.764714742
8200,1710,Y,5B,8B,167886.570572859
8520,1419,Y,5B,8B,237649.371100335
7200,1432,Y,5B,8B,181804.941984551
12640,1375,Y,5B,8B,195759.021560394
9600,1829,N,5B,8B,157112.678590417
9600,1886,Y,5B,8B,200190.094726267
7795,2183,Y,5B,8B,221447.704707666
10896,1294,Y,5B,8B,160513.97562713
7060,1768,Y,5B,8B,230254.349685492
1890,1414,Y,5B,8B,212386.907598213
9591,1232,Y,5B,8B,150754.32399952
9464,816,Y,5B,8B,191551.680270558
5720,1316,Y,5B,8B,154632.305456337
2544,1236,Y,5B,8B,195682.766392085
7200,1484,Y,5B,8B,144503.118039963
19900,904,Y,5B,8B,232228.753973463
9600,910,Y,5B,8B,190158.113863284
10880,2198,Y,5B,8B,247801.29235285
10125,1652,Y,5B,8B,185689.491953796
8737,1688,N,5B,8B,171230.083092676
3180,2230,N,5B,8B,231575.528302772
14230,1441,Y,5B,8B,210298.731007663
25286,848,Y,5B,8B,181874.65520008
14559,2157,Y,5B,8B,237331.652573841
8400,970,Y,5B,8B,145817.65229972
8120,1646,Y,5B,8B,165014.197903194
11198,1456,Y,5B,8B,192082.74768349
8000,605,Y,5B,8B,168407.595422651
9600,2036,Y,5B,8B,208594.0484494
13688,2291,Y,5B,8B,253108.094935477
10141,720,Y,5B,8B,279069.445267969
3182,1593,Y,5B,8B,169305.529978758
5586,2646,Y,5B,8B,247670.965907138
10020,2000,Y,5B,8B,239103.015616879
16905,2002,Y,5B,8B,199734.365740499
13125,1068,Y,5B,8B,202006.733520244
9101,1768,Y,5B,8B,184404.261701412
5232,1428,Y,5B,8B,248209.178127025
8197,1844,Y,5B,8B,178109.469598139
2522,1501,Y,5B,8B,189315.367267606
10240,1929,Y,5B,8B,236623.570538708
9600,1973,Y,5B,8B,255569.968964413
2544,1217,Y,5B,8B,135071.807736796
10800,1097,Y,5B,8B,156377.142101025
12400,1469,Y,5B,8B,158736.41631146
9000,1470,Y,5B,8B,196987.324129348
7200,1638,Y,5B,8B,167810.950274384
5400,1768,Y,5B,8B,231591.539646048
7227,980,Y,5B,8B,182398.552713745
4712,2414,Y,5B,8B,309967.142056297
7244,1110,Y,5B,8B,195972.655327912
10480,1533,Y,5B,8B,179953.249053438
7945,1976,Y,5B,8B,251546.629209191
7150,1501,Y,5B,8B,151574.735845834
9490,1478,Y,5B,8B,200284.256004938
2651,1742,Y,5B,8B,223030.698269972
12400,1216,Y,5B,8B,199409.361582657
13568,1734,N,5B,8B,220115.419961936
7207,1716,Y,5B,8B,223106.432872899
26178,1148,Y,5B,8B,217263.902361558
7200,1095,Y,5B,8B,203051.97093132
9612,861,Y,5B,8B,144124.613537527
11988,3279,Y,5B,8B,306156.799920838
16321,1920,Y,5B,8B,174484.349096663
9588,778,Y,5B,8B,170282.278893381
3378,1183,Y,5B,8B,117949.464864503
8462,928,Y,5B,8B,194501.140193604
7244,1196,Y,5B,8B,157597.119272179
8125,3222,Y,5B,8B,277130.629296537
10800,1230,Y,5B,8B,177947.714865864
9000,1336,Y,5B,8B,166309.095006945
8405,965,Y,5B,8B,174410.703961237
14331,1336,Y,5B,8B,228190.400291466
6000,1500,Y,5B,8B,193189.259062136
13758,928,Y,5B,8B,213670.961171015
11767,1968,Y,5B,8B,225599.059822578
5604,1710,Y,5B,8B,195583.466360226
8450,1137,Y,5B,8B,159392.072808649
8730,1719,Y,5B,8B,179382.201581224
4400,1968,Y,5B,8B,221107.526556428
6155,520,Y,5B,8B,191460.825433269
9236,1855,Y,5B,8B,206207.666610228
1680,1911,Y,5B,8B,154168.776461651
5500,1818,Y,5B,8B,193518.723399821
4928,1752,Y,5B,8B,180792.092387373
7862,980,Y,5B,8B,154117.519255275
11070,2466,Y,5B,8B,270544.098520415
10335,2358,Y,5B,8B,235193.990075937
10500,1958,Y,5B,8B,240071.275300062
34650,1342,Y,5B,8B,224063.916579312
8750,1644,Y,5B,8B,216035.091934428
11250,1337,Y,5B,8B,161586.060322864
9120,1732,Y,5B,8B,191329.138603701
10800,860,Y,5B,8B,205153.443092972
5586,1680,Y,5B,8B,237619.067660369
11767,832,Y,5B,8B,200093.666324268
7750,1136,Y,5B,8B,138839.953323024
5825,1065,Y,5B,8B,201541.650380582
5925,1349,Y,5B,8B,175455.99031151
14226,864,N,5B,8B,160228.274839392
9098,1452,Y,5B,8B,200115.371128057
10421,1894,Y,5B,8B,179715.72107758
11096,616,Y,5B,8B,178647.174388141
2001,882,Y,5B,8B,186975.22740616
12886,1732,N,5B,8B,225725.690511181
15602,1306,Y,5B,8B,246453.744084198
10237,1234,Y,5B,8B,204472.369064135
12803,912,Y,5B,8B,151727.076060842
10395,1060,Y,5B,8B,204873.421796209
10625,1034,Y,5B,8B,166105.624826119
9600,1004,Y,5B,8B,164672.267125871
8120,1144,N,5B,8B,196010.129090386
9800,1576,Y,5B,8B,191405.205319963
9100,2287,Y,5B,8B,238476.18660493
13400,1640,N,5B,8B,187370.315896776
11767,1069,N,5B,8B,157950.371370054
8461,1456,Y,5B,8B,161397.438856461
10421,1486,Y,5B,8B,177981.251668663
5684,1935,Y,5B,8B,208991.316267847
11443,1053,Y,5B,8B,192151.236970412
8414,1510,Y,5B,8B,213739.521290955
11616,1092,Y,5B,8B,179177.101876624
13500,1588,Y,5B,8B,170944.238437924
6000,1159,Y,5B,8B,151207.321282907
15576,1004,Y,5B,8B,202772.293403573
11394,1478,Y,5B,8B,191139.896576905
8520,1971,Y,5B,8B,255390.532529879
7200,854,Y,5B,8B,135427.465458591
8536,912,Y,5B,8B,153995.558562293
5400,520,Y,5B,8B,144127.64006904
8176,2198,Y,5B,8B,232952.743447197
8973,1136,Y,5B,8B,194915.821076818
12203,1839,Y,5B,8B,173076.290699059
9000,1750,Y,5B,8B,216906.046643105
1936,1682,Y,5B,8B,244480.017705295
12702,1656,Y,5B,8B,218297.202879206
9150,904,Y,5B,8B,229166.490874629
5310,1224,Y,5B,8B,174379.966921585
14859,796,Y,5B,8B,142563.311892868
9375,864,Y,5B,8B,175060.836575635
7420,1536,Y,5B,8B,186049.951321838
10420,1375,Y,5B,8B,182346.670119437
3982,1494,Y,5B,8B,189613.913536538
7677,1328,Y,5B,8B,198306.951323854
9416,1567,Y,5B,8B,236613.085905472
11924,2332,Y,5B,8B,228946.070914207
12182,2704,Y,5B,8B,322385.709618705
2592,2704,Y,5B,8B,278693.545851055
8765,2094,Y,5B,8B,263934.655016107
13000,1419,Y,5B,8B,184620.160036905
11287,918,Y,5B,8B,149339.596392656
8480,1440,Y,5B,8B,202083.54944337
9525,884,Y,5B,8B,138055.413782518
7314,948,Y,5B,8B,164481.488343982
7200,1269,Y,5B,8B,161640.336624713
8012,1709,Y,5B,8B,224847.108722171
10659,1040,Y,5B,8B,250139.922508805
13860,1720,Y,5B,8B,242096.800434914
5000,882,Y,5B,8B,210125.645697962
8176,1682,Y,5B,8B,217310.764094168
10800,1416,Y,5B,8B,126438.074017861
10800,848,Y,5B,8B,199149.62762072
13891,1617,Y,5B,8B,153643.235936586
9600,1056,Y,5B,8B,155534.248117492
9100,894,Y,5B,8B,233077.362617051
11394,630,Y,5B,8B,144710.631814431
6240,1287,Y,5B,8B,198283.957155782
14762,1216,Y,5B,8B,202422.409061828
13000,894,Y,5B,8B,159587.949384803
8400,2468,Y,5B,8B,241194.314682687
6120,864,Y,5B,8B,142903.3937475
15523,882,Y,5B,8B,177592.21353254
11143,1842,N,5B,8B,193980.663372662
9900,924,N,5B,8B,158269.329002836
6155,2872,Y,5B,8B,247863.717828623
7200,1947,Y,5B,8B,246875.142263457
10440,1320,Y,5B,8B,156099.892803179
9248,1164,Y,5B,8B,175476.276018928
2544,1728,Y,5B,8B,213577.862010074
11600,1336,Y,5B,8B,177300.470643194
10041,1826,Y,5B,8B,177262.203429551
9636,1826,Y,5B,8B,199450.089037308
3675,864,Y,5B,8B,193811.02548771
8640,1638,Y,5B,8B,189715.531317557
4224,1776,Y,5B,8B,196427.708810891
9790,1121,N,5B,8B,166637.537835641
7390,1796,Y,5B,8B,252407.705898154
15660,2374,N,5B,8B,286774.480670521
4426,1392,Y,5B,8B,196705.860569075
5063,2098,Y,5B,8B,300367.283725118
8472,1949,Y,5B,8B,213028.103623573
5271,2290,Y,5B,8B,255664.740377241
9453,1416,Y,5B,8B,197057.019005884
8125,848,Y,5B,8B,146972.110628647
12589,1181,N,5B,8B,156911.886195274
7892,1717,Y,5B,8B,210665.74157777
11210,894,Y,5B,8B,207163.740497215
11616,1296,Y,5B,8B,149216.913608556
6292,2035,Y,5B,8B,232523.130643875
11333,1348,Y,5B,8B,222609.779607884
9965,1494,Y,5B,8B,207345.870749709
10159,1479,Y,5B,8B,160154.955672922
20896,1712,Y,5B,8B,258683.965864051
6960,1296,Y,5B,8B,194011.226682233
7800,1208,Y,5B,8B,207179.072797863
9101,1829,Y,5B,8B,249239.636851839
6000,1535,Y,5B,8B,247730.611466614
13000,2715,Y,5B,8B,267179.827212269
10437,1756,Y,5B,8B,257470.468824311
10400,988,Y,5B,8B,167866.1721329
10420,1572,Y,5B,8B,219949.436526302
8246,1640,Y,5B,8B,230256.588126348
15750,1682,Y,5B,8B,222170.667298285
6000,2149,Y,5B,8B,282276.564914008
7446,1144,Y,5B,8B,132436.053202098
32668,1419,N,5B,8B,192342.864909764
4400,1756,Y,5B,8B,280391.195883457
11287,1670,Y,5B,8B,241270.256907818
2645,894,Y,5B,8B,141259.584107448
4400,907,Y,5B,8B,116753.294324451
70761,1200,Y,5B,8B,189806.118287002
12168,1218,Y,5B,8B,183228.842306743
10012,1494,Y,5B,8B,229785.627791703
8281,1548,N,5B,8B,149233.479652131
11923,1184,Y,5B,8B,161592.148297448
11645,948,Y,5B,8B,250078.414358094
11049,1496,Y,5B,8B,186801.708721305
11645,1976,Y,5B,8B,251355.407731314
9600,1383,Y,5B,8B,173793.253982616
9018,1756,Y,5B,8B,185850.465554477
14850,1464,Y,5B,8B,190098.7263189
8176,969,Y,5B,8B,160521.332496646
10356,1086,Y,5B,8B,209795.402977965
13360,1062,Y,5B,8B,145279.082533435
3982,1620,Y,5B,8B,209668.93393973
20431,990,Y,5B,8B,130098.213288712
18800,813,Y,5B,8B,155910.987385648
11249,2418,Y,5B,8B,278267.342778154
9803,2978,Y,5B,8B,326053.722176962
11478,1555,N,5B,8B,224965.595436502
6762,1223,Y,5B,8B,137305.325300959
17104,1224,Y,5B,8B,187214.326674867
7399,1431,Y,5B,8B,198507.138507778
21453,1710,Y,5B,8B,247478.408910698
11600,1135,Y,5B,8B,173306.641483926
8500,2082,Y,5B,8B,238105.426273472
7134,792,Y,5B,8B,203740.062664126
9790,1208,Y,5B,8B,131584.447255818
9591,2704,Y,5B,8B,278412.142130397
4456,1600,Y,5B,8B,189147.020299171
10171,754,Y,5B,8B,158901.560411399
4224,1716,Y,5B,8B,171847.126162381
2289,1548,Y,5B,8B,186911.941972241
8410,914,Y,5B,8B,232499.078736204
9120,2020,Y,5B,8B,245147.780496922
5604,1479,Y,5B,8B,190094.57502223
7136,999,Y,5B,8B,172450.275754774
14175,2263,Y,5B,8B,272092.950861965
12224,2046,Y,5B,8B,248476.390504055
7758,1494,N,5B,8B,184254.317327421
10355,2031,Y,5B,8B,222334.576511906
3196,1593,Y,5B,8B,191558.983327949
5000,1797,N,5B,8B,175785.060992806
10380,1541,Y,5B,8B,196801.467535059
3922,2473,Y,5B,8B,252302.659019842
13517,2240,Y,5B,8B,316708.303668661
7200,1489,Y,5B,8B,174185.475936915
6000,1494,Y,5B,8B,250563.746495622
10552,1839,Y,5B,8B,210139.975458505
8064,854,Y,5B,8B,187601.788700432
11210,1502,Y,5B,8B,224345.19642865
7449,2715,Y,5B,8B,292821.487550453
10655,1517,Y,5B,8B,227623.001173869
12798,2062,Y,5B,8B,260430.775018143
10791,1668,Y,5B,8B,151664.400849209
10652,630,Y,5B,8B,246588.582787767
11924,1301,Y,5B,8B,169666.48414405
15611,2554,Y,5B,8B,280866.767107756
16770,720,Y,5B,8B,163392.512137858
7252,1573,Y,5B,8B,203697.185928223
8125,1734,Y,5B,8B,221304.335093353
7200,816,N,5B,8B,185284.461656098
10140,1214,Y,5B,8B,167820.193053758
10000,1230,Y,5B,8B,260007.889004546
6120,1428,Y,5B,8B,177540.136814448
7449,2240,Y,5B,8B,234464.557066657
8777,1092,Y,5B,8B,189893.720636826
8730,2098,Y,5B,8B,223082.521850152
7259,1116,Y,5B,8B,158551.553128632
10237,1316,Y,5B,8B,187209.812454776
7032,1739,Y,5B,8B,288829.737128848
10364,1593,Y,5B,8B,225789.272786834
9938,720,Y,5B,8B,189117.289330061
16492,1431,Y,5B,8B,196293.40666906
11478,884,Y,5B,8B,234578.571099476
10655,2392,Y,5B,8B,256915.400699718
7200,784,Y,5B,8B,171997.357342521
7758,835,Y,5B,8B,146503.416111103
7000,2121,Y,5B,8B,238755.994925642
7200,858,Y,5B,8B,151622.807518342
3600,1500,Y,5B,8B,202966.622540658
7018,784,N,5B,8B,261060.743719906
5600,1430,Y,5B,8B,182992.320578078
8600,1368,Y,5B,8B,221204.627923166
16647,1638,Y,5B,8B,194044.917050129
9100,1839,Y,5B,8B,265762.324274014
11885,1518,Y,5B,8B,289101.854471156
11841,2019,Y,5B,8B,257729.939189509
9303,1077,Y,5B,8B,178595.138433113
12030,1276,N,5B,8B,190386.186737546
3951,1428,Y,5B,8B,202084.113212621
12168,2358,Y,5B,8B,262041.676880972
8500,987,Y,5B,8B,163828.851794799
5400,1961,Y,5B,8B,258959.923908689
10440,2057,Y,5B,8B,349139.986192398
10206,1801,Y,5B,8B,185965.279073014
7800,1288,Y,5B,8B,154507.372357157
7920,1392,Y,5B,8B,203909.248422106
8791,3279,Y,5B,8B,341056.513278836
12692,1474,Y,5B,8B,197950.751740615
10896,1826,Y,5B,8B,269620.77979983
10010,1028,Y,5B,8B,208751.397513012
8520,1216,Y,5B,8B,144865.964353403
8125,1680,Y,5B,8B,185543.320870291
11200,1969,Y,5B,8B,282733.443125611
8846,1192,Y,5B,8B,194673.532301294
8012,1040,N,5B,8B,180474.360729997
9101,2296,Y,5B,8B,272303.823832425
1920,990,Y,5B,8B,164113.26930735
7892,864,N,5B,8B,195884.871423194
16659,2654,Y,5B,8B,284129.814831066
12354,1895,Y,5B,8B,254008.188471207
8737,1947,Y,5B,8B,252400.556262975
9590,1614,Y,5B,8B,222364.293941126
12122,894,Y,5B,8B,205956.376719218
11888,1072,Y,5B,8B,268635.730574493
7535,861,Y,5B,8B,166666.375863318
11645,928,Y,5B,8B,212902.912200352
9000,2468,Y,5B,8B,265753.382844475
11500,1198,N,5B,8B,157954.263289552
4928,1092,Y,5B,8B,147919.054424925
10150,1320,Y,5B,8B,216736.526793211
10552,1842,Y,5B,8B,197707.444186119
10637,1548,N,5B,8B,195218.054158031
11645,1131,Y,5B,8B,251956.125619311
10335,1470,Y,5B,8B,174837.819234322
7658,1471,Y,5B,8B,261471.357520984
11414,1939,Y,5B,8B,258574.051728208
9550,912,Y,5B,8B,197301.391186924
9100,1668,Y,5B,8B,232272.071167102
8064,1053,Y,5B,8B,259170.065468213
19138,1555,Y,5B,8B,244083.993294342
11216,1481,Y,5B,8B,206172.09205418
9855,1362,Y,5B,8B,223763.990657055
9060,1852,Y,5B,8B,225703.896869071
10603,1060,Y,5B,8B,215653.575309741
12327,1688,Y,5B,8B,194618.165761538
3604,1920,N,5B,8B,180950.098108171
10395,1208,Y,5B,8B,233785.27982942
11143,1842,Y,5B,8B,233551.65707544
8450,1682,Y,5B,8B,248475.185082017
14803,1908,Y,5B,8B,218741.69491467
13005,1225,Y,5B,8B,273682.572131206
7018,1056,Y,5B,8B,201153.606111573
10240,1478,Y,5B,8B,206756.56057527
12552,1652,Y,5B,8B,242809.078113078
5400,1432,Y,5B,8B,196400.480883399
19900,1767,Y,5B,8B,237170.301988624
1936,1661,N,5B,8B,284510.004240803
13350,1911,Y,5B,8B,232356.222919804
7677,1968,Y,5B,8B,303504.434312317
7758,2270,Y,5B,8B,219152.942250565
3182,3112,Y,5B,8B,293787.708739998
8400,1148,Y,5B,8B,193090.937083005
7420,1710,Y,5B,8B,273573.484508721
7819,1720,Y,5B,8B,226221.710269549
12456,1720,Y,5B,8B,239775.679553677
8125,1647,Y,5B,8B,213752.254225586
8500,773,Y,5B,8B,181379.78962167
10400,1044,Y,5B,8B,177292.26681979
3951,1812,N,5B,8B,212383.084478208
9600,1856,Y,5B,8B,215278.23306437
9675,1080,Y,5B,8B,190358.305691214
6780,1339,Y,5B,8B,204265.648133038
2665,2132,Y,5B,8B,216132.675587479
8100,1224,Y,5B,8B,188739.909995822
1680,1062,Y,5B,8B,159704.406649724
9464,1277,Y,5B,8B,192350.221406969
10463,1494,Y,5B,8B,256445.53478973
11310,2183,Y,5B,8B,294731.056459684
9100,1309,Y,5B,8B,250490.171475015
8712,1253,Y,5B,8B,168689.049481615
5119,1456,N,5B,8B,218473.263664703
7200,854,N,5B,8B,177893.985373538
21750,2274,N,5B,8B,278261.385955658
6120,1593,Y,5B,8B,228940.929925232
4923,840,Y,5B,8B,198257.147807683
7000,1472,Y,5B,8B,243018.78464761
5586,2262,Y,5B,8B,319350.123453777
7931,1733,Y,5B,8B,222459.757192797
12886,1924,Y,5B,8B,255238.380178597
13560,1097,Y,5B,8B,271797.523888649
11200,1826,Y,5B,8B,256674.555199315
11900,789,Y,5B,8B,157022.928200149
3010,981,Y,5B,8B,184392.179923723
12046,1656,Y,5B,8B,204653.480036879
9937,1199,N,5B,8B,152722.771712592
11478,1867,Y,5B,8B,230697.51824101
13907,1950,Y,5B,8B,285320.844457071
8963,2234,Y,5B,8B,264851.17947772
8450,1820,Y,5B,8B,191659.361189024
14200,2020,Y,5B,8B,257107.484403193
8176,1440,Y,5B,8B,200650.82065381
6120,1836,Y,5B,8B,195490.494659863
9196,2344,N,5B,8B,262095.665113871
9430,1713,N,5B,8B,233292.656154997
11923,1728,Y,5B,8B,252095.744471843
16259,864,Y,5B,8B,208240.125514301
10656,1344,Y,5B,8B,190308.356129513
8480,1310,Y,5B,8B,224816.265554767
17120,1097,Y,5B,8B,199043.412336608
14000,1131,Y,5B,8B,163436.143200267
11911,1586,Y,5B,8B,212174.264843608
12677,1679,N,5B,8B,265427.524605786
7920,1908,Y,5B,8B,211536.166833502
11924,2142,Y,5B,8B,266933.453941502
15523,1034,Y,5B,8B,207821.089801543
16905,1200,Y,5B,8B,204108.149193776
9245,1839,Y,5B,8B,255491.624523948
9000,1726,Y,5B,8B,215381.214786573
18386,2161,Y,5B,8B,276971.904810134
13695,1954,Y,5B,8B,261461.34498833
17043,1120,Y,5B,8B,180066.429001363
10335,884,Y,5B,8B,224604.101771416
7136,480,Y,5B,8B,184428.518963817
3378,882,Y,5B,8B,159511.979595871
10800,1682,Y,5B,8B,191155.316708311
12003,2358,Y,5B,8B,256676.748748293
7200,1086,Y,5B,8B,199101.667081708
10800,1717,Y,5B,8B,247005.646883126
11782,1040,Y,5B,8B,149095.791841524
10140,2183,Y,5B,8B,271677.84428585
13568,2097,Y,5B,8B,217942.502967421
9187,848,Y,5B,8B,153139.375467109
2645,1682,Y,5B,8B,212288.179462731
13651,1056,Y,5B,8B,187855.060507175
9600,1470,Y,5B,8B,235708.848703799
8740,1707,Y,5B,8B,216969.93000949
7800,958,N,5B,8B,179197.03328478
13837,1028,Y,5B,8B,215391.450402121
25095,1601,Y,5B,8B,275099.873726624
6270,1358,Y,5B,8B,219168.953391211
9170,2153,Y,5B,8B,245416.821704335
11717,2364,Y,5B,8B,292643.702875623
8880,1358,Y,5B,8B,285361.575094858
10125,729,Y,5B,8B,211666.105470479
3182,2090,Y,5B,8B,208987.406425074
8800,1664,Y,5B,8B,231411.351097246
6979,1838,N,5B,8B,246401.78251851
9571,767,Y,5B,8B,202574.841243037
12243,1386,Y,5B,8B,222156.488438716
10896,1040,Y,5B,8B,199930.326533178
10237,767,Y,5B,8B,197142.03209467
8773,1577,Y,5B,8B,235696.96201037
2280,1306,Y,5B,8B,242646.198655987
9000,1344,Y,5B,8B,197093.691243956
7931,1310,Y,5B,8B,213886.039372238
8846,1194,Y,5B,8B,194115.699687994
9920,1268,Y,5B,8B,170912.742774514
8520,1144,Y,5B,8B,242534.355523732
8633,925,Y,5B,8B,187775.087162595
7301,1541,Y,5B,8B,262433.171143769
13568,1198,N,5B,8B,216277.173481527
12155,1425,Y,5B,8B,252927.556095056
11029,1501,Y,5B,8B,193695.30632739
9100,875,Y,5B,8B,211978.554679764
9873,1800,N,5B,8B,221432.503358762
9920,1839,Y,5B,8B,210091.581621253
10007,1767,Y,5B,8B,182475.096283985
3880,1040,Y,5B,8B,229909.700738793
12984,999,Y,5B,8B,192340.058213605
17503,1626,Y,5B,8B,319152.904180217
1526,1616,Y,5B,8B,203851.548015148
12257,869,N,5B,8B,196457.78845099
3230,825,Y,5B,8B,175794.847923125
11787,754,Y,5B,8B,204849.990975841
7227,1015,Y,5B,8B,191041.273836479
9020,1026,Y,5B,8B,174815.697726489
